Step description                                   ,Estimated time (minutes),Actual time (minutes)
1. Environment Setup                               ,60                      ,0
2. Create your first app: Greeting                 ,150                     ,0
3. First feature of the Todo App: TodoList screen  ,180                     ,0
4. Set up the Navigation                           ,120                     ,0
5. Set up Continuous Integration on GitHub         ,15                      ,0
6. Build the APK                                   ,15                      ,0
7. Write user stories for the Todo app             ,30                      ,0
